"","area_name","area_code","covid_rate","area","popden","under15","age_15_64","over_65","white","black","asian_indian","asian_bang","asian_chin","mixed_ethnicity","other_ethnicity","BAME","imd","imd_income","imd_emp","imd_edu","imd_health","imd_crime","imd_house","imd_living_env","imd_daci","imd_daopi"
"70","Lincolnshire","E10000019",24.3872021836943,592061.92,1.2,15.8209942366949,63.4615142092866,20.7174915540186,97.5077523670467,0.358857876306833,0.346667077697424,0.0695015644858215,0.243395599822323,0.867368314853297,0.154416782385837,1.0184221183124,20.609,0.132,0.118,23.145,0.102,-0.476,23.13,21.168,0.177,0.145
"71","Liverpool","E08000012",51.9558762046675,11184.35,41.7,15.5801164199265,70.3838855954461,14.0359979846274,88.8663529260423,2.6388516664344,1.05378257560327,0.230481438204174,1.71049387348177,2.52050212793328,1.77459987350321,5.63360955372362,41.126,0.256,0.207,32.681,1.413,0.467,14.725,37.595,0.334,0.327
"72","Luton","E06000032",29.9506400066929,4335.33,46.9,21.6652477103951,66.5823494963115,11.7524027932933,54.5671527207051,9.79768800350392,5.22881285033046,6.69583318979729,0.736708972888913,4.07527522010226,1.46652821590445,22.4590430165206,27.577,0.178,0.125,25.496,0.317,0.61,32.218,23.736,0.237,0.213
"73","Manchester","E08000003",62.5170185658889,11564.49,43.5,18.2488715572808,72.3014268763155,9.44970156640371,66.5040834620285,8.64274825242931,2.26920837084871,1.27939864089981,2.69097066943336,4.60341027215792,3.05827355717344,14.8823259336112,40.512,0.242,0.167,31.595,1.422,0.815,25.879,34.279,0.343,0.363
"74","Medway","E06000035",26.4165956237567,19203.31,13.7,18.9281045751634,67.050866723501,14.0210287013356,89.4454864071232,2.52458084683149,2.70228284550535,0.494079757506868,0.403523728331912,1.96116320924505,0.71687032300843,6.12446717817562,22.332,0.153,0.124,26.604,-0.034,0.352,18.387,21.186,0.22,0.151
"75","Merton","E09000024",17.8273650052831,3760.87,53.1,18.3837190086783,70.0375075741263,11.5787734171954,64.7944594953253,10.4214969978918,4.05923091946137,1.10970339471088,1.3110124040402,4.67417485840766,1.90242021503007,16.9014437161042,14.93,0.116,0.077,10.377,-0.642,0.215,19.631,27.495,0.169,0.161
"76","Middlesbrough","E06000002",41.239198913389,5387.47,25.7,18.9232147501662,66.1279368840852,14.9488483657486,88.1209721700431,1.2506141086033,1.06710400832298,0.176285293182672,0.653122561627605,1.70649943646505,1.08083114180851,3.14712597173655,40.216,0.268,0.216,40.64,1.195,0.633,18.316,12.907,0.357,0.253
"77","Milton Keynes","E06000042",16.0436619095655,30862.53,8.1,20.9713006538837,67.9721566909545,11.0565426551617,79.9860140422231,6.88486904240398,3.25776361319985,0.799369828109364,1.09395911116827,3.30960811185551,0.634592739358816,12.0359615948815,18.029,0.138,0.1,18.089,-0.067,0.076,25.631,5.619,0.197,0.152
"78","Newcastle upon Tyne","E08000021",56.6927335220236,11343.86,24.7,16.0773368263633,70.1031847724831,13.8194784011536,85.4352784132887,1.8416929298265,1.8102842131938,1.67465566409805,2.15470934445012,1.52724884626504,1.46264682682733,7.48134215156847,28.264,0.194,0.148,29.577,0.777,-0.056,18.448,13.11,0.273,0.245
"79","Newham","E09000025",24.5694581536703,3622.36,85,21.3663696815419,71.947244012676,6.68638630578212,28.8177307912099,19.5646527092316,13.7942230765235,12.0986804509325,1.27604031378253,4.52783261468128,3.46511507091277,46.7335965504702,32.939,0.217,0.129,20.825,0.261,0.967,41.892,33.742,0.288,0.41
"80","Norfolk","E10000020",12.605375060614,537056.1,1.6,15.685497407587,62.7229894811444,21.5915131112686,96.4107202805028,0.537249617665709,0.471273639449439,0.108755455257563,0.373941586780559,1.16880058935432,0.258425342235816,1.49122029915327,21.158,0.132,0.118,29.311,-0.039,-0.545,24.479,21.282,0.177,0.141
"81","North East Lincolnshire","E06000012",33.2548115477145,19184.49,8.3,17.6893293905373,64.5887630312751,17.7219075781877,97.3555282678428,0.257492983159583,0.321396351242983,0.167902967121091,0.379034683239775,0.743033279871692,0.293830192461909,1.12582698476343,30.898,0.204,0.167,36.452,0.207,0.575,16.222,27.635,0.29,0.193
"82","North Lincolnshire","E06000013",29.2333050655137,84631.29,2,17.443832638582,64.6166525327568,17.9395148286612,95.9461557755933,0.295020484215807,0.670066767793796,0.861770361788278,0.316519952701169,0.742926077660858,0.245452265207888,2.14337756649905,21.363,0.15,0.129,25.953,0.143,-0.001,16.1,15.35,0.205,0.156
"83","North Somerset","E06000024",20.7241096728967,37378.6,5.4,16.9110314662875,62.0424947918209,21.0464737418915,97.2028869602994,0.31199707749573,0.403325335939891,0.147606212296239,0.305579416091545,1.00362351036205,0.192036175863669,1.16850804182341,15.783,0.116,0.107,16.018,-0.223,-0.362,18.771,11.965,0.148,0.124
